Terms,Frequency absolute,Frequency Relative
forrar,22,"0,0256676505932727"
Joga,22,"0,0256676505932727"
menos,22,"0,0256676505932727"
mesma,22,"0,0256676505932727"
ne,22,"0,0256676505932727"
party,22,"0,0256676505932727"
PQ,22,"0,0256676505932727"
real,22,"0,0256676505932727"
Salve,22,"0,0256676505932727"
sapao,22,"0,0256676505932727"
Tem,22,"0,0256676505932727"
tomar,22,"0,0256676505932727"
u?,22,"0,0256676505932727"
velho,22,"0,0256676505932727"
vendo,22,"0,0256676505932727"
9,21,"0,0245009392026694"
[Emote Personalizado 12],21,"0,0245009392026694"
acabou,21,"0,0245009392026694"
ae,21,"0,0245009392026694"
agua,21,"0,0245009392026694"
at,21,"0,0245009392026694"
big,21,"0,0245009392026694"
BONUS,21,"0,0245009392026694"
disso,21,"0,0245009392026694"
Essa,21,"0,0245009392026694"
ESSE,21,"0,0245009392026694"
esta,21,"0,0245009392026694"
fui,21,"0,0245009392026694"
futebol,21,"0,0245009392026694"
ganhou,21,"0,0245009392026694"
GenderFluidPride,21,"0,0245009392026694"
in,21,"0,0245009392026694"
KKKKKKKKKKKK,21,"0,0245009392026694"
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,21,"0,0245009392026694"
mesa,21,"0,0245009392026694"
num,21,"0,0245009392026694"
pernalPOG,21,"0,0245009392026694"
sei,21,"0,0245009392026694"
SUGAR,21,"0,0245009392026694"
tira,21,"0,0245009392026694"
umas,21,"0,0245009392026694"
V?,21,"0,0245009392026694"
10k,20,"0,0233342278120661"
antes,20,"0,0233342278120661"
bet,20,"0,0233342278120661"
BIG,20,"0,0233342278120661"
cai,20,"0,0233342278120661"
dourado,20,"0,0233342278120661"
familia,20,"0,0233342278120661"
FEZ,20,"0,0233342278120661"
final,20,"0,0233342278120661"
fora,20,"0,0233342278120661"
gra?a,20,"0,0233342278120661"
kkkkkkkkkkkkkkkkkkkkkkkkkkk,20,"0,0233342278120661"
maior,20,"0,0233342278120661"
MUITO,20,"0,0233342278120661"
porque,20,"0,0233342278120661"
quantos,20,"0,0233342278120661"
ROLETA,20,"0,0233342278120661"
s,20,"0,0233342278120661"
trabalho,20,"0,0233342278120661"
vida,20,"0,0233342278120661"
vivo,20,"0,0233342278120661"
21,19,"0,0221675164214628"
!followage,19,"0,0221675164214628"
@adlfilmmaker,19,"0,0221675164214628"
abre,19,"0,0221675164214628"
d,19,"0,0221675164214628"
dando,19,"0,0221675164214628"
deus,19,"0,0221675164214628"
fam?lia,19,"0,0221675164214628"
flip,19,"0,0221675164214628"
fosse,19,"0,0221675164214628"
jogos,19,"0,0221675164214628"
KKKKKKKKKKKKKK,19,"0,0221675164214628"
kkkkkkkkkkkkkkkkkkkkkkkkk,19,"0,0221675164214628"
kkkkkkkkkkkkkkkkkkkkkkkkkkkkk,19,"0,0221675164214628"
logo,19,"0,0221675164214628"
lula,19,"0,0221675164214628"
man,19,"0,0221675164214628"
parece,19,"0,0221675164214628"
passa,19,"0,0221675164214628"
pergunta,19,"0,0221675164214628"
RUSH,19,"0,0221675164214628"
seria,19,"0,0221675164214628"
SKIPINHO,19,"0,0221675164214628"
Ta,19,"0,0221675164214628"
ue,19,"0,0221675164214628"
video,19,"0,0221675164214628"
VirtualHug,19,"0,0221675164214628"
+,18,"0,0210008050308595"
5k,18,"0,0210008050308595"
Ad,18,"0,0210008050308595"
all,18,"0,0210008050308595"
apostas,18,"0,0210008050308595"
banir,18,"0,0210008050308595"
BibleThump,18,"0,0210008050308595"
black,18,"0,0210008050308595"
BOA,18,"0,0210008050308595"
brasil,18,"0,0210008050308595"
certeza,18,"0,0210008050308595"
CHAT,18,"0,0210008050308595"
coin,18,"0,0210008050308595"
colocar,18,"0,0210008050308595"
coloquei,18,"0,0210008050308595"
eita,18,"0,0210008050308595"
GALE,18,"0,0210008050308595"
KKKKKKK,18,"0,0210008050308595"
kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,18,"0,0210008050308595"
LIVE,18,"0,0210008050308595"
mes,18,"0,0210008050308595"
milha,18,"0,0210008050308595"
milhao,18,"0,0210008050308595"
